YYYYMM,Agric,Mines,Oil  ,Stone,Cnstr,Food ,Smoke,Txtls,Apprl,Wood ,Chair,Paper,Print,Chems,Ptrlm,Rubbr,Lethr,Glass,Metal,MtlPr,Machn,Elctr,Cars ,Instr,Manuf,Trans,Phone,TV   ,Utils,Garbg,Whlsl,Rtail,Money,Srvc ,Govt ,Other
201112,-3.96,-9.48,-6.19,2.09,-0.25,2.59,3.61,0.82,-1.94,2.26,-0.01,2.31,3.4,3.09,3.77,0.57,-7.21,-1.14,-5.18,-1.82,-0.85,-2.45,-0.2,0.4,-4.41,1.19,3.67,2.81,2.95,2.06,-0.02,1.02,1.76,-1.81,1.3,1.01
201201,16.81,12.5,5.78,8.91,10.05,-0.64,-4.66,6.96,9.58,9.28,5.1,1.66,0.84,3.16,-1.32,7.54,13.13,10.9,12.4,6.77,11.83,9.75,8.22,9.02,7.61,6.62,-2.48,6.27,-2.71,5.36,6.07,3.63,7.15,5.98,3.4,4.76
201202,-5.12,-5.12,7.59,2.39,6.25,1.54,10.56,5.73,9.28,1.65,5.65,5.9,3.21,1.9,6.16,3.22,4.7,-1.3,-2.69,5.52,9,3.61,5.02,2.89,3.04,-1.24,3.52,6.1,1.25,1.88,1.58,3.47,6.5,5.25,0.87,2.94
201203,2.95,-8.28,-6.31,-2.14,0.97,3.85,4.93,4.53,2.88,10.12,2.67,1.41,2.16,3.47,-0.92,1.53,-0.16,8.86,0.67,2.37,4.09,3.47,0.33,3.21,3.95,1,1.13,3.54,1.44,0.85,2.98,4.91,6.88,3.65,3.85,1.8
201204,-4.03,-0.85,-1.89,0.71,2.01,1.31,1.83,-0.06,-0.07,-0.19,-7.02,-0.07,-2.55,0.47,-1.71,1.68,-4.12,-4.36,-4.29,-1.32,-2.85,-3.28,-2.76,-0.47,0.62,1.24,4.68,-0.56,1.74,-3.04,-0.3,1.24,-2.42,-0.94,-1.33,0.59
201205,0.53,-14.18,-14.41,-16.4,-8.89,-1.44,-3.64,-2.83,-7.31,-3.85,-7.06,-5.16,-8.63,-3.85,-8.02,-3.8,-5.48,-9.92,-14.52,-6.16,-8.39,-8.99,-7.68,-6.75,-6.41,-2.08,2.31,-3.56,-0.93,-4.33,-6.12,-2.56,-9.01,-8.04,-1.97,-5.78
201206,6.9,5.71,2.54,12.68,7.62,3.56,5.92,2.22,-4.76,10.93,-7.58,3.7,7.13,4.97,7.9,-11.33,-12.02,2.99,4.78,0.9,1.13,1.5,-0.23,3.99,0.78,4.04,5.51,8.25,3.4,1.33,2.58,2.03,4.52,4.22,6.55,4.88
201207,3.26,-4.71,3.46,-2.45,-1.8,0.11,3.94,-0.77,3.72,-5.55,-5.31,4.56,1.08,2.66,2.63,2.91,-7.52,-6.52,-1.35,1.34,1.84,0.03,-0.66,-1.89,3.1,-0.99,6.02,2.43,3.73,4.21,0.53,1.38,-1.09,-2.67,1.22,1.37
201208,2.15,6.04,1.23,0.57,8.38,-0.42,-2.93,8.15,7.97,16.62,8.08,1.36,6.44,1.07,3.19,4.94,13.87,11.07,-1.1,2.23,7.07,2.49,3.27,3.71,1.29,-1.56,-2.48,4.15,-3.34,-2.22,0.41,3.05,4.13,3.76,-0.54,0.77
201209,4.67,8.6,2.61,11.3,6.67,0.71,-0.03,5.4,1.71,4.22,1.96,5.06,5.81,3.46,4.21,-0.48,-3.03,3.44,3.77,4.27,0.76,-2.66,1.49,3.77,0.61,-2.28,4.36,5.17,2.17,-2.39,0.41,2.14,3.6,4,6.5,-0.08
201210,-4.83,3.87,-3.1,-1.14,2.69,-1.58,-2.52,4.72,0.53,8.15,-0.4,-2.19,-1.03,-1.21,-1.49,-2.43,-1.95,10.03,-0.73,0.49,-7.81,-3.18,3.25,-1.94,0.35,2.95,-4.76,-0.33,1.05,4.67,2.61,-1.52,1.95,-4.75,-3.84,-3.54
201211,5.85,-5.73,-1.47,7.62,-0.86,3.35,3.27,4,2.29,6.09,4.74,2.12,-2.51,1.69,-1.27,5.85,4.92,3.13,2.61,3.82,1.04,2.65,3.24,2,2.88,0.4,-1.26,1.06,-3.68,-0.1,2.29,1.3,-0.66,2.19,1.39,3.5
201212,2.97,-0.27,2.23,1.66,6.2,-1.69,-5.58,3.54,-2.14,1.06,7.36,2.83,5.52,-0.26,0.56,4.64,-3.7,6.6,6.56,1.17,-1.58,3.02,4.84,1.73,-0.36,3.01,-0.91,2.68,0.14,2.04,1.99,-1.57,4.3,1.82,1.31,2.33
201301,6.99,-0.86,10.56,5.67,10.89,5.3,5.61,9.22,3.21,7.45,4.72,4.89,5.08,7.29,6.2,6.18,-3.47,9.12,4.28,5.5,-1.62,4.8,1.84,7.58,4.28,8.52,3.67,5.89,5.08,6.3,6.46,5.36,6.31,6.67,7.74,7.67
201302,-0.41,-8.2,-1.57,-3.85,-3.52,4.56,2.21,5.7,3.07,4.42,2.4,5.87,-6.47,1.69,1.82,1.21,-3.02,0.33,-2.68,2.67,-1.13,1.56,1.84,0.23,4.61,3.64,2.08,2.3,2.16,0,2.07,0.66,1.29,0.71,5,3.96
201303,4.6,0.69,2.37,2.3,5.82,6.44,2.72,8.88,-0.79,4.74,10.77,5.42,7.66,5.28,1.92,6.99,4.1,2.75,2.1,3.64,1.34,3.09,4.93,3.63,6.78,4.65,3.38,7.43,5.64,6.82,3.25,4.88,4.53,3.16,1.43,4.29
201304,1.39,-11.16,-1.13,-1.42,-3.5,3.13,4.4,1.02,8.91,-5.5,-0.94,2.23,-0.28,3.35,-1.4,4.92,12.21,-1.24,-4.41,-1.99,-1.42,-0.36,2.48,-1.05,4.12,-0.14,6.67,2.56,5.05,3.17,0.17,3.1,1.57,1.61,0.36,-0.18
201305,-5.05,-0.76,3.37,6.14,3.7,-2.84,-2.98,0.77,2.81,9.03,3.99,-1.67,4.86,0.97,2.83,-0.34,1.27,4.7,3.84,5.86,5.92,4.66,8.49,5.77,-1.21,2.74,-6.49,1.61,-6.99,1.76,3.85,1.93,7.07,3.54,6.67,2.68
201306,-0.97,-12.65,-0.55,-6.81,-6.84,1.02,-2.26,2.28,-0.59,-9,-1.58,-0.21,2.44,-2.02,-3.09,1.64,-0.74,-7.11,-4.72,-2.94,-5.32,-1.78,0.72,-0.39,1.61,-0.91,2.18,2.19,0.79,-1.48,-0.55,0.04,-0.42,-2.24,-1.31,-0.35
201307,1.2,2.39,5.02,-3.11,2.26,3.3,1.76,12.02,4.8,6.08,5.82,6.37,11.99,7.62,4.92,1.76,-1.06,5.2,6.97,7.28,4.99,7.92,8.28,6.11,1.6,3.67,1.02,5.5,4.58,3.99,6.46,5.8,6.33,5.25,4.03,5.99
201308,-1.26,5.58,1.61,-1.39,-3.46,-3.98,-4.85,-3.46,-3.42,-7.86,-4.14,-3.69,-4.68,-3.22,-4.95,-1.01,-0.83,-5.42,-2.75,-2.42,-2.94,1.69,-1.69,-2.58,-1.64,-2.59,-4.09,-2.82,-4.41,-3.01,-2.5,-4.41,-4.2,-0.37,-4.25,-2.14
201309,6.16,0.53,4.78,6.11,6.51,0.07,4.28,8.44,3.85,12.14,7.58,1.18,6.14,3.52,-0.73,12,3.85,8.98,8.35,6.14,3.92,2.52,7.36,4.92,2.39,5.92,-0.07,6.52,1.04,3.48,5.6,4.38,3.16,5.65,2.68,3.87
201310,1.04,6.53,5.92,3.33,5.08,5.33,5.35,4.48,3.01,6.38,3.12,7.11,6.97,4.06,3.56,3.94,-3.44,1.45,8.38,4.15,1.17,6.35,2.82,4.94,5.2,5.91,8.41,4.04,3.34,1.19,5.76,5.02,3.3,3.43,3.61,5.63
201311,7.64,-6.47,-3.28,1.36,4.52,0.91,-2.42,4.21,5.83,0.63,8.06,0.85,0.24,4.25,5.17,3.61,13.76,5.16,1.72,3.24,1.26,4.4,3.59,2.83,2.21,5.29,-2.67,2.33,-1.8,2.62,3.86,3.64,6.06,3.27,1.41,4.94
201312,3.1,7.36,-0.82,5.23,5.13,2.17,2.97,3.64,2.19,5.97,0.17,1.58,7.53,0.85,6.31,2.16,-1.49,3.32,6.52,3.52,5.12,2.89,2.5,3.14,2.72,2.25,0.36,5.5,1.79,-0.8,2.54,-0.08,2.7,4.65,2.88,4.39
201401,-8.01,-8.22,-4.97,1.61,-3.29,-3.89,-8.33,-2.68,-6.12,-1.67,-9.29,1.78,-7.27,-0.22,-8.78,-6.2,-13.21,-2.98,-5.47,-5.95,-2.2,-5.47,-2.88,1.4,-13.54,-1.99,-3.03,-4.5,2.49,-4.38,-2.35,-7.16,-4.27,-0.15,-6.87,-7.28
201402,3,5.2,7.79,11.14,5.37,3.31,3.35,0.87,4.79,4.77,5.92,3.89,6.84,6.65,3.9,6.08,2.95,11.33,2.55,6.09,4.41,5.25,6.44,4.28,3.01,2.11,-1.85,5.17,3.07,0.32,4.5,5.5,3.24,5.71,2.9,4.55
201403,3.73,-1.65,2.4,1.78,-3.34,3.18,4.07,-0.06,2.15,-6.29,3.7,-1.99,-0.73,-2.1,2.59,-4.36,3.69,-0.63,3.67,-0.53,2.03,2.49,-0.95,-0.42,3.91,2.68,5.83,-2.71,2.68,2.01,0.41,-0.72,2.38,-2.85,5.89,1.47
201404,-2.6,4.5,5.64,1.3,-3.94,1.64,5.69,0.48,-5.07,-4.89,-1.04,-0.66,-2.21,0.8,5.6,-1.26,-5.42,-4.59,0.65,0.54,0.32,3.18,0.94,-3.69,-2.97,1.11,1.76,-0.54,3.97,4.08,-0.54,-0.96,-3.48,-3.26,3.18,2.74
201405,9.86,-3.55,3.14,-0.5,2.37,3.44,3.99,2.75,2,-5.02,5.63,1.61,-1.54,1.34,-1.04,3.58,-5.51,1.08,-1.62,0.72,1.9,4.62,1.6,3.11,0.44,5.45,2.91,4.53,0,0.69,3.44,0.48,1.81,2.76,-0.46,2.04
201406,2.56,5.96,7.54,5.68,2.32,1.74,-1.17,7.83,1.21,1.94,0.4,3.13,8.68,1.84,0.95,2.18,-5,3.22,4.89,2.97,3.99,4.17,0.67,2.6,2.66,1.25,-0.67,2.79,5.41,4.28,0.99,1.27,2.97,2.5,-0.96,1.56
201407,-8.2,0.84,-5.7,-4.11,-9.64,-4.93,-3.26,-5.7,-1.05,-7.25,-4.6,-6.16,-1.64,-1.28,-0.84,-3.21,0.66,-10.95,2.2,-6.7,-2.76,-0.84,-4.29,-2.06,-5.89,-2.04,1.62,-0.19,-6.48,-1.43,-3.09,-2.15,-2.08,0.47,-1.96,-3.03
201408,3.14,0.73,2.21,6.54,6.75,6.44,4.63,10.14,3.77,13.34,4.35,3.32,2.63,5.79,2.31,3.13,7,5.61,6.21,4.02,4.27,6.27,5.03,3.06,4.07,4.57,-2.7,2.35,5.39,3.29,4.75,5.21,3.81,3.19,7.7,3.82
201409,-2.41,-12.59,-8.95,-5.16,-7.4,-0.04,2.01,-2.38,0.32,-6.01,-6.9,-2.4,-7.3,0.21,-6.76,7.02,-3.1,-10.61,-4.79,-3.96,-4.45,-2.32,-4.32,-1.84,-2.87,0.71,0.66,-2.99,-3.4,-0.59,-2.23,-1.26,-0.61,-1.52,0.27,-3.04
201410,3.25,-9.5,-10.33,-6.26,3.26,1.96,5.86,2.08,0.3,8.07,5.8,7.06,3.37,3.86,2.38,3.99,-1.51,-3.1,2.17,4.64,0.89,3.91,1.9,6.41,2.1,6.22,0.64,1.85,6.69,2.39,3.12,3,3.87,0.71,1.32,6.87
201411,3.71,-0.44,-13.93,0.69,0.85,5.52,0.98,7.53,10.5,2.27,4.72,4.99,0.98,2.55,-6.05,6.35,9.02,1.53,-2.46,1.38,2.82,6.61,4.54,4.19,5.15,5.88,0.42,4.47,0.29,0.23,1.86,8.54,1.93,1.82,5.24,3.97
201412,-0.06,-8.77,-0.63,-4,-1.57,-3.13,-2.89,-0.31,1.15,3.79,-0.12,1.35,1.81,-0.78,1.7,-0.71,-2.2,0.82,-6.6,1.53,-0.33,-2.77,-0.17,-0.01,-0.9,1.09,-6.35,0.66,1.85,1.79,0.45,1.81,2.06,-0.62,-0.02,2.59
201501,-0.9,-8.17,-3.32,2.23,-6.53,-1.09,3.05,2.02,-3.5,-2.3,-1.53,-2.07,-2.19,0.48,-5.1,-3.86,-3.33,-1.63,-9.65,-5.52,-7.77,-0.49,-2.12,-1.28,-6.11,-4.53,-0.39,-7.09,1.18,-0.73,-2.53,0.11,-7.6,-4.09,-4.57,-2.16
201502,2.08,13.45,4.24,19.3,10.41,4.63,5.45,13.34,3.76,6.58,7.59,5.37,8.94,4.67,5.2,6.38,12.74,5.57,3.77,9.08,7.13,9.1,7.23,5.42,7.25,3.1,6.9,10.23,-4.37,5.76,4.89,5.71,7.92,7.82,4.27,5.18
201503,-5.28,-10.94,-2.6,0.44,1.44,-0.67,-8.47,3.33,-0.07,3.6,1.2,-2.4,0.56,-0.5,-2.48,2.82,-0.06,0.42,-2.72,0.61,-5.46,-2.7,-0.83,0.86,-2.58,-3.62,-4.22,-1.2,-0.28,1.41,0.54,0.76,0.11,-1.2,-2.45,-1.57
201504,1.07,16.28,12.17,1.28,-5.29,-0.36,6.02,-5.95,-1.78,-3,-2.24,-1.98,-4,-0.94,2.2,-1.79,-1.11,0.35,4.05,0.05,3.21,-0.52,-2.3,-2.69,7.35,-1.14,6.06,2.1,0.3,-4.95,-1.05,-2.38,0.76,2.03,0.71,-3.82
201505,3.43,-8.91,-7.97,1.65,1.27,1.91,1.44,4.37,-1.87,4.86,2.66,-0.85,2,3.99,-2.04,2.92,-2.82,3.41,-3.81,0.46,1.05,5.35,1.34,2.67,0.06,-3.06,-1.23,1.83,-0.5,1.24,1.29,0.84,3.08,0.15,0.95,2.39
201506,-7.59,-8.69,-4.95,-5.42,2.95,-1.43,-2.57,4.09,3.08,-0.7,-1.05,-4.39,-0.73,-0.61,-2.56,3.59,1.82,-3.88,-5.25,-1.22,-3.5,-5.8,-2.32,-0.73,1.97,-3.25,-1.68,0.06,-5.37,-3.58,-2.66,-0.23,1.33,-1.37,-3.82,-2.68
201507,-2.72,-21.46,-14.21,3.03,0.68,4.42,9.59,-0.72,5.77,2.33,-5.1,4.52,-2.96,2.01,-3.88,4.79,4.52,3.12,-8.21,-1.16,-1.94,-3.44,-0.94,3.83,0.35,3.27,-0.84,2.76,2.61,6.27,-1.28,5.83,1.95,4.91,2.81,-1.39
201508,-4.59,-2.87,-1.82,2.49,-2.56,-4.04,-4.06,-3.11,-4.3,-0.2,-5.87,-6.92,-8.55,-8.52,-5.23,-3.47,-4.25,-0.65,-4.41,-2.57,-5.79,-5.81,-5.29,-6.47,-3.12,-6.37,-1.54,-12.39,-4.01,-1.99,-4.27,-5.56,-6.53,-5.67,-5.69,-5.83
201509,-11.16,-7.25,-10.52,-9.43,-5.02,0.48,2.37,-5.92,-4.71,-5.12,-0.92,-4.76,-5.21,-6.48,-1.48,5.75,-6.65,-9.34,-10.59,-6.77,-5.74,-1.67,-2.03,-4.87,-6.11,-0.71,-4.33,-1.5,-0.56,-0.88,-6,-1.14,-3.16,-2.47,-1.84,-3.14
201510,8.63,7.96,13.05,5.46,2.66,6.22,10.9,7.96,-2.26,13.09,8.8,10.89,12.26,9.47,12.01,6.38,-9.34,1.55,5.9,9.66,8.48,8.87,7.33,7,9.47,6.48,7.13,9.93,2.07,3.15,5.17,4.4,5.9,10.27,7.31,10.59
201511,1.87,-11.65,0.04,4.88,6.33,-0.22,-3,-2.59,-3.18,6.07,1.41,-0.46,-1.15,0.35,1.89,1.34,-0.74,-0.3,-0.89,1.48,-0.61,0.1,0.47,3.5,1.92,-1.1,-2.52,-1.55,-3.45,-0.38,2.7,0.54,2.18,1.54,0.03,-1.33
201512,2.07,-3.94,-15.85,-10.22,-6.31,1.52,1.6,-2.64,-4.36,-3.75,-10.84,-0.75,-6.14,0.2,-4.84,-3.76,1.02,-5.65,-2.65,-2.49,-4.26,-5.92,-2.59,0.16,-0.87,-5.01,2.04,-6.06,-2.36,0.13,-1.78,0.71,-2.93,-1.44,0.4,-3.3
201601,-6.73,-4.17,-6.89,-7,-10.2,-0.95,4.29,-5.32,3.4,-11.2,-8.53,-6.5,-5.15,-9.13,-3.08,-3.01,5.42,-13.34,-9.65,-4.58,-8.27,-7.69,-10.31,-4.68,-1.31,-8.52,5.21,-4.01,4.62,-0.05,-8.34,-3.5,-9.61,-5.58,-3.41,-0.6
201602,-0.47,13.79,-6.87,9.2,0.22,0.2,0.95,0.65,0.46,4.6,1.38,1.71,-0.94,-0.25,-0.24,0.58,9.33,6.61,7.37,2.13,6.2,1.15,3.67,0.69,5.58,6.91,2.57,0.18,1.72,2.55,4.19,-0.56,-2.83,-1.87,2.82,4.05
201603,-0.98,16.35,16.05,9.28,12.09,5.31,5.06,3.6,4.44,12.13,8.87,9.27,6.79,3.39,7.59,3.13,3.37,11.75,17.74,8.21,9.22,9.96,6.6,5.45,8.2,6.88,6.12,5.95,7.92,7.5,6.29,5.74,6.67,7.86,6.57,7.94
201604,7.17,22.57,16.18,5.01,-0.99,0.17,-0.24,1.56,-1.01,-1.96,4.15,-1.22,1.82,2.49,4.2,-3.97,1.07,4.02,9.86,1.49,0.28,-7.76,3.8,3.18,0.41,-1.07,-1.93,2.45,-0.78,-3.7,0.3,-0.68,3.97,-2.19,0.75,0.11
201605,16.6,-11.94,-1.67,9.94,3.13,0.35,0.84,-1.69,-4.07,6.65,3.47,1.35,-0.6,1.81,-0.37,-4.57,-3.16,5.69,-8.49,1.97,2.39,6.04,-1.57,2.57,4.69,-2.17,0.72,-0.02,2.24,2.73,1.64,0.86,2.15,4.27,-2.82,0.57
201606,-6.59,10.45,1.38,3.54,0.01,5.76,6.89,-4.65,2.72,-1.37,-2.33,3.9,-0.26,-0.29,3.6,-0.05,1.79,-2.4,2.56,-2.21,-1.85,-1.74,-1.6,2.65,-1.7,-2.51,8.89,-1.33,7.37,7.3,1.6,0.71,-5.27,-1.94,3.38,3.78
201607,3.62,10.84,-2.07,2.74,4.93,-0.19,-2.77,9.73,2.81,10.6,7.13,1.45,7.29,5.6,-3.47,2.17,2.47,5.4,13.59,4.62,7.12,9.07,5.67,4.21,4.57,5.41,2.44,2.16,-0.22,-1.98,3.4,3.5,4.06,7.15,-0.45,1.7
201608,-0.09,-11.34,3.22,-5.83,0.35,-0.62,-1.2,1.65,0.94,3.69,3.14,3.34,0.26,-2.11,0.03,3.59,-5.81,-2.63,-7.52,0.88,3.58,2.91,-0.38,-0.03,2.13,1.11,-5.26,-1.96,-3.92,-2.99,-0.94,-1.5,4.89,0.86,3.18,0.55
201609,-4.08,3.38,5.74,0.57,-2.17,-1.77,-2.76,-4.84,-6.05,-7.63,-7.75,0.29,-3.87,-0.09,0.63,-5.88,-3.92,-3.87,2.44,0.78,3.74,4.5,-0.71,1.53,-2.83,2.88,-0.41,1.4,1.75,-0.19,-2.56,-0.4,-1.41,0.98,-4.01,-1.11
201610,-2.01,0.1,-5.07,0.79,-4.06,-0.53,4.61,-7.35,-6.11,-7.67,-0.08,-6.64,-10.28,-5.99,-1.06,-5.01,-4.72,-2.45,-2.98,-3.58,-3.61,-1.83,0.45,-5.99,-1.36,-0.62,-5.37,-0.6,-0.61,2.35,-8.07,-3.34,1.41,-0.44,-0.7,-5.96
201611,2.11,11.04,13.48,13.96,8.76,-5.09,-5.11,7.97,1.48,7.54,8.55,5.54,8.18,2.07,6.29,1.68,6.57,11.92,21.36,7.58,7.24,2.73,8.08,0.58,2.07,12.76,5.11,7.22,-2.84,4.79,9.77,3.67,12.83,0.33,8.72,3.08
201612,3.31,-4.41,-0.7,2.17,0.29,4.19,5.42,1.69,-2.67,-0.44,4.91,1.82,2.07,0.66,4.78,1.58,-1.64,1.76,-2.26,-0.29,-0.02,3.21,1.47,0.79,-7.41,0.87,7.89,2.05,3.64,3.16,2.23,-0.87,3.83,-0.16,3.23,2.68
201701,5.6,16.08,-1.99,3.56,4.83,0.24,5.65,5.6,-3.54,1.51,-4.49,5.87,1.6,2.01,-6.24,3.65,3.83,5.14,3.7,2.76,3.97,3.02,2.95,5.24,2.43,1.74,-0.77,7.03,1.09,-0.83,1.92,0.87,0.6,5.43,-0.97,-0.76
